site,sci_name,common_name,length_mm,mass_g
pond_a,Lepomis auritus,Redbreast sunfish,120.47,62.00
pond_a,Lepomis auritus,Redbreast sunfish,122.13,60.52
pond_a,Lepomis auritus,Redbreast sunfish,125.09,62.39
pond_a,Lepomis auritus,Redbreast sunfish,120.13,56.60
pond_a,Lepomis auritus,Redbreast sunfish,118.98,55.24
pond_a,Lepomis auritus,Redbreast sunfish,132.99,70.41
pond_a,Lepomis auritus,Redbreast sunfish,118.48,62.27
pond_a,Lepomis auritus,Redbreast sunfish,119.54,65.41
pond_a,Lepomis auritus,Redbreast sunfish,121.88,61.29
pond_a,Lepomis auritus,Redbreast sunfish,129.08,66.24
pond_a,Lepomis auritus,Redbreast sunfish,122.94,61.26
pond_a,Lepomis auritus,Redbreast sunfish,124.02,59.81
pond_a,Lepomis auritus,Redbreast sunfish,109.08,55.16
pond_a,Lepomis auritus,Redbreast sunfish,114.54,61.32
pond_a,Lepomis auritus,Redbreast sunfish,109.54,52.68
pond_a,Lepomis auritus,Redbreast sunfish,123.70,60.10
pond_a,Lepomis auritus,Redbreast sunfish,116.13,62.37
pond_a,Lepomis auritus,Redbreast sunfish,126.32,57.57
pond_a,Lepomis auritus,Redbreast sunfish,111.14,56.02
pond_a,Lepomis auritus,Redbreast sunfish,131.63,62.19
pond_a,Lepomis auritus,Redbreast sunfish,117.92,56.95
pond_a,Lepomis auritus,Redbreast sunfish,119.96,58.21
pond_a,Lepomis auritus,Redbreast sunfish,131.48,64.67
pond_a,Lepomis auritus,Redbreast sunfish,129.52,60.39
pond_a,Lepomis auritus,Redbreast sunfish,111.16,56.42
pond_a,Lepomis auritus,Redbreast sunfish,120.32,60.44
pond_a,Lepomis auritus,Redbreast sunfish,126.91,57.70
pond_a,Lepomis auritus,Redbreast sunfish,123.72,67.59
pond_a,Lepomis auritus,Redbreast sunfish,129.10,68.58
pond_a,Lepomis auritus,Redbreast sunfish,129.51,67.56
pond_a,Lepomis auritus,Redbreast sunfish,112.67,57.44
pond_a,Lepomis auritus,Redbreast sunfish,119.84,55.26
pond_a,Lepomis auritus,Redbreast sunfish,126.45,63.43
pond_a,Lepomis auritus,Redbreast sunfish,117.51,60.14
pond_a,Lepomis gulosus,Warmouth,119.10,51.52
pond_a,Lepomis gulosus,Warmouth,124.78,57.36
pond_a,Lepomis gulosus,Warmouth,110.17,49.17
pond_a,Lepomis gulosus,Warmouth,124.37,55.35
pond_a,Lepomis gulosus,Warmouth,113.30,51.01
pond_a,Lepomis gulosus,Warmouth,118.61,51.47
pond_a,Lepomis gulosus,Warmouth,127.97,57.26
pond_a,Lepomis gulosus,Warmouth,108.31,43.78
pond_a,Lepomis gulosus,Warmouth,120.44,47.87
pond_a,Lepomis gulosus,Warmouth,114.08,42.07
pond_a,Lepomis gulosus,Warmouth,100.00,38.26
pond_a,Lepomis gulosus,Warmouth,125.26,52.14
pond_a,Lepomis gulosus,Warmouth,121.46,49.78
pond_a,Lepomis gulosus,Warmouth,118.82,45.12
pond_a,Lepomis gulosus,Warmouth,125.63,52.47
pond_a,Lepomis gulosus,Warmouth,132.07,53.98
pond_a,Lepomis gulosus,Warmouth,120.14,50.06
pond_a,Lepomis gulosus,Warmouth,124.84,51.61
pond_a,Lepomis gulosus,Warmouth,132.02,52.28
pond_a,Lepomis gulosus,Warmouth,119.02,53.59
pond_a,Lepomis gulosus,Warmouth,122.60,49.37
pond_a,Lepomis gulosus,Warmouth,122.30,51.94
pond_a,Lepomis gulosus,Warmouth,105.32,43.21
pond_a,Lepomis gulosus,Warmouth,113.41,44.77
pond_a,Lepomis gulosus,Warmouth,105.85,46.32
pond_a,Lepomis gulosus,Warmouth,109.16,44.53
pond_a,Lepomis gulosus,Warmouth,101.05,43.81
pond_a,Lepomis gulosus,Warmouth,104.21,44.49
pond_a,Lepomis gulosus,Warmouth,121.31,50.54
pond_a,Lepomis gulosus,Warmouth,106.78,47.41
pond_a,Lepomis gulosus,Warmouth,118.42,48.66
pond_a,Lepomis gulosus,Warmouth,140.42,56.42
pond_a,Lepomis gulosus,Warmouth,114.37,48.84
pond_a,Lepomis gulosus,Warmouth,110.01,46.00
pond_a,Lepomis gulosus,Warmouth,118.73,48.60
pond_a,Lepomis gulosus,Warmouth,105.44,43.59
pond_a,Lepomis gulosus,Warmouth,106.86,48.45
pond_a,Lepomis gulosus,Warmouth,124.57,53.79
pond_a,Lepomis gulosus,Warmouth,122.02,47.93
pond_a,Lepomis gulosus,Warmouth,117.38,44.93
